{'cname': '鑫启元（北京）建筑工程有限公司', 'corcode': '91110116MAC3M7A049', 'cid': '002212312027452284'}
{'cname': '中科筑诚建设工程有限公司', 'corcode': '9111000056583191XK', 'cid': '002105291328069673'}
{'cname': '北京金世源建筑工程有限公司', 'corcode': '91110109784806298U', 'cid': '002105291328069674'}
{'cname': '东宸建设（北京）有限公司', 'corcode': '91110109MA01Q66N2F', 'cid': '002105291328055557'}
{'cname': '中广益轩（北京）建设发展有限公司', 'corcode': '91110117MA01Y4JN39', 'cid': '002105291328056927'}
{'cname': '中海中汇（北京）建设集团有限公司', 'corcode': '91110117MA01W1582Q', 'cid': '002105291328057271'}
{'cname': '中浩环保股份有限公司', 'corcode': '91110109MA01W87P3N', 'cid': '002105291328071056'}
{'cname': '北京步昊泽通建设工程有限公司', 'corcode': '91110109MA01RGNH4B', 'cid': '002105291328071063'}
{'cname': '北京中谊建设安装工程有限公司', 'corcode': '91110106664646058B', 'cid': '002105291328057620'}
{'cname': '北京华奥瑞鑫装饰工程有限公司', 'corcode': '91110112674291596M', 'cid': '002105291328057629'}
{'cname': '北京金信建筑工程有限公司', 'corcode': '91110109MA019TUE1P', 'cid': '002105291328057631'}
{'cname': '北京华义建设有限公司', 'corcode': '91110117MA01YXDE00', 'cid': '002105291328072518'}
{'cname': '比加（北京）建筑工程有限公司', 'corcode': '91110109MA01X5B79H', 'cid': '002105291328065139'}
{'cname': '北京光达建筑工程有限公司', 'corcode': '91110228MA019UF55K', 'cid': '002105291328064799'}
{'cname': '北京鑫盛开元建筑工程有限公司', 'corcode': '91110109MA020A3R6K', 'cid': '002105291328065473'}
{'cname': '北京宜振市政工程有限公司', 'corcode': '91110109MA01XLBJ0D', 'cid': '002105291328065482'}
{'cname': '北京中凯云聚建筑工程有限公司', 'corcode': '91110109MA01QPTL40', 'cid': '002105291335088105'}
{'cname': '北京雅腾建筑装饰工程有限公司', 'corcode': '91110228MA01UQLP0Q', 'cid': '002105291335089820'}
{'cname': '北京旭创伟业建筑工程有限公司', 'corcode': '91110117MA01Y7JX36', 'cid': '002105291335087760'}
{'cname': '北京世丰建筑工程有限公司', 'corcode': '91110111MA01TEKK5L', 'cid': '002105291335089821'}
{'cname': '北京华荣建业建设工程有限公司', 'corcode': '91110117MA0204GJ7G', 'cid': '002105291328066899'}
{'cname': '北京中旭建建设工程有限公司', 'corcode': '91110115MA01YT1B92', 'cid': '002105291328066900'}
{'cname': '北京中鼎屹辉建筑工程有限公司', 'corcode': '91110109MA01TK254T', 'cid': '002105291328067237'}
{'cname': '北京华建勘工程技术有限责任公司', 'corcode': '91110109MA01YHRX1D', 'cid': '002105291328069089'}
{'cname': '北京中兴正宸消防工程有限公司', 'corcode': '91110109MA01WKU67J', 'cid': '002105291328067241'}
{'cname': '北京德源通环境工程技术有限公司', 'corcode': '91110108582571726K', 'cid': '002105291328067564'}
{'cname': '中盈弘宇（北京）建筑工程有限公司', 'corcode': '91110109MA020WE21W', 'cid': '002105291329079015'}
{'cname': '北京鑫聚恒通电气安装工程有限公司', 'corcode': '91110113MA006BAE8F', 'cid': '002105291329079024'}
{'cname': '北京常德装饰工程有限公司', 'corcode': '91110113MA01CKRJ5A', 'cid': '002105291329079361'}
{'cname': '中亿亨（北京）建设有限公司', 'corcode': '91110113MA01MX091L', 'cid': '002105291329079235'}
{'cname': '北京中能华源建筑有限公司', 'corcode': '91110109MA020L4F41', 'cid': '002105291329074540'}
{'cname': '北京中鑫冠腾建筑工程有限公司', 'corcode': '91110109MA01QGQP32', 'cid': '002105291329079216'}
{'cname': '北京中邦宏兴建设有限公司', 'corcode': '91110109MA01XYRU87', 'cid': '002105291329074541'}
{'cname': '北京坤兴建设工程有限公司', 'corcode': '91110109MA020HKB26', 'cid': '002105291329074542'}
{'cname': '耘曜（北京）建筑工程有限公司', 'corcode': '91110109MA01XBXY6H', 'cid': '002105291329074883'}
{'cname': '北京中广银建设工程有限公司', 'corcode': '91110109MA01YLAH3P', 'cid': '002105291329074543'}
{'cname': '北京德旭建筑工程有限公司', 'corcode': '91110109MA0201GF62', 'cid': '002105291329074886'}
{'cname': '北京华基中新环境工程有限公司', 'corcode': '91110112MA01N9BK16', 'cid': '002105291329074545'}
{'cname': '北京寰宇恒通建筑有限公司', 'corcode': '91110109MA01KP7T7W', 'cid': '002105291329075228'}
{'cname': '中海首建（北京）建筑工程有限公司', 'corcode': '91110109MA01YL1U2U', 'cid': '002105291329074895'}
{'cname': '北京华建得邦建筑有限公司', 'corcode': '91110109MA01K6F92E', 'cid': '002105291329075232'}
{'cname': '中盛远建设有限公司', 'corcode': '91110109MA01X7HEX7', 'cid': '002107291914157212'}
{'cname': '北京虹远工程建设有限公司', 'corcode': '91110109MA020T7D9T', 'cid': '002107241918153553'}
{'cname': '北京中腾盛景建设工程有限公司', 'corcode': '91110117MA02MA137R', 'cid': '002107241918153554'}
{'cname': '北京凯建泰达建筑工程有限公司', 'corcode': '91110109MA01R9HQ07', 'cid': '002107241918153569'}
{'cname': '鲁顺达（北京）建设有限公司', 'corcode': '91110111MA01TQ4X2Q', 'cid': '002107241918153559'}
{'cname': '北京津西泰方环境能源科技有限公司', 'corcode': '91110109MA0210EK7E', 'cid': '002107241918153570'}
{'cname': '北京页川建筑工程有限公司', 'corcode': '91110107327203125C', 'cid': '002107241918153560'}
{'cname': '北京京汉建筑工程有限公司', 'corcode': '91110111MA029YTY34', 'cid': '002107241918153561'}
{'cname': '北京华智鹏邦商贸有限公司', 'corcode': '91110111MA01B21L18', 'cid': '002107241918153562'}
{'cname': '北京朝朝红建筑劳务有限公司', 'corcode': '9111010555857488X0', 'cid': '002108051903162139'}
{'cname': '北京博诚至达科技发展有限责任公司', 'corcode': '91110114584442856U', 'cid': '002107241918153563'}
{'cname': '中恒亿嘉（北京）建设有限公司', 'corcode': '91110117MA0210P97R', 'cid': '002107241918153564'}
{'cname': '北京彬彬利平建设工程有限公司', 'corcode': '91110117MA02B2JW7W', 'cid': '002107241918153565'}
{'cname': '弘远盛世（北京）建设有限公司', 'corcode': '91110117MA021F0054', 'cid': '002107241918153566'}
{'cname': '北京欧特嘉地坪工程有限公司', 'corcode': '91110117MA021EQ912', 'cid': '002107241918153567'}
{'cname': '北京元和建筑工程有限公司', 'corcode': '91110114MA01H5BM4T', 'cid': '002105291242644315'}
{'cname': '北京益达灯饰工程有限公司', 'corcode': '911101117577125879', 'cid': '002105291241626537'}
{'cname': '北京深装国艺建筑装饰有限公司', 'corcode': '91110113801758719N', 'cid': '002105291241626538'}
{'cname': '北京兴兴林电气安装工程有限公司', 'corcode': '911101117609122483', 'cid': '002105291241626539'}
{'cname': '北京阔林达建筑装饰工程有限公司', 'corcode': '91110115696350120D', 'cid': '002105291241626540'}
{'cname': '北京京乾锐机电设备有限公司', 'corcode': '91110109599601020H', 'cid': '002105291241626541'}
{'cname': '北京鼎泰恒建设有限公司', 'corcode': '911101150628002494', 'cid': '002105291241626542'}
{'cname': '北京鼎盾人防设备有限公司', 'corcode': '911101130994439438', 'cid': '002105291241626833'}
{'cname': '北京长河域建设工程有限公司', 'corcode': '91110114069615687C', 'cid': '002105291241626834'}
{'cname': '北京恒坤混凝土有限公司', 'corcode': '91110105749394144U', 'cid': '002105291242645023'}
{'cname': '北京极顺建筑有限公司', 'corcode': '911102287906580767', 'cid': '002105291241626839'}
{'cname': '北京同发建设工程监理有限责任公司', 'corcode': '91110107101174376T', 'cid': '002105291242645043'}
{'cname': '中冶万达（北京）建设工程有限公司', 'corcode': '91110113MA00DYXX0H', 'cid': '002105291247645733'}
{'cname': '北京华尊新创建设有限公司', 'corcode': '91110109MA01CFR733', 'cid': '002105291247645747'}
{'cname': '北京百城建筑工程监理有限责任公司', 'corcode': '911101057214275061', 'cid': '002105291247646077'}
{'cname': '北京实惠建筑装饰工程有限公司', 'corcode': '91110105101780958E', 'cid': '002105291240470748'}
{'cname': '北京通联地基基础工程有限公司', 'corcode': '91110112700346774W', 'cid': '002105291240470746'}
{'cname': '北京凯莹装饰工程有限公司', 'corcode': '911101057899810013', 'cid': '002105291240470747'}
{'cname': '北京智远腾达建筑有限公司', 'corcode': '91110111573207156G', 'cid': '002105291240470749'}
{'cname': '北京金源嘉成电力安装有限公司', 'corcode': '9111010967507434X9', 'cid': '002105291240470750'}
{'cname': '北京景洋制冷装饰工程公司', 'corcode': '91110105101217751W', 'cid': '002105291240470751'}
{'cname': '北京市盛昌宏达装饰公司', 'corcode': '91110105101746098U', 'cid': '002105291240478749'}
{'cname': '北京豫安辛伏建筑劳务有限公司', 'corcode': '91110114599639627H', 'cid': '002105291240478750'}
{'cname': '北京乾宏电力工程有限公司', 'corcode': '9111010979595806XE', 'cid': '002105291240470752'}
{'cname': '北京赛德伟业空调有限公司', 'corcode': '91110102102317092R', 'cid': '002105291240478751'}
{'cname': '北京中汇科环能源技术有限公司', 'corcode': '911103025906517260', 'cid': '002105291240478752'}
{'cname': '北京北空空调器有限公司', 'corcode': '91110108101154682F', 'cid': '002105291240470753'}
{'cname': '北京安荣市政工程有限公司', 'corcode': '91110102743332065X', 'cid': '002105291240478753'}
{'cname': '北京悫信建功建筑机械有限公司', 'corcode': '9111010271779096X8', 'cid': '002105291240478754'}
{'cname': '北京中科利源电力工程有限公司', 'corcode': '9111010858773474XP', 'cid': '002105291240470754'}
{'cname': '北京万通兴业科技发展有限公司', 'corcode': '91110102306468634U', 'cid': '002105291306880109'}
{'cname': '北京金泰久安建设有限公司', 'corcode': '91110109MA01DBKX6U', 'cid': '002105291305856926'}
{'cname': '北京易安捷建筑工程有限公司', 'corcode': '911101115938381829', 'cid': '002105291305856929'}
{'cname': '北京振凯建筑有限公司', 'corcode': '91110109MA01RBBPXC', 'cid': '002105291305878017'}
{'cname': '北京匠营建筑工程有限公司', 'corcode': '91110109MA01QKLAX4', 'cid': '002105291305878008'}
{'cname': '中城鸿泰（北京）建设有限公司', 'corcode': '91110109MA01PDRH0T', 'cid': '002105291305878009'}
{'cname': '北京亿合国际建筑装饰工程有限公司', 'corcode': '91110112MA00DYJW3W', 'cid': '002105291305858663'}
{'cname': '北京中弘恒兴建筑劳务有限公司', 'corcode': '91110113MA01TJ5XXK', 'cid': '002105291305858672'}
{'cname': '北京松古泓业建筑装饰工程有限公司', 'corcode': '91110111MA0041XA33', 'cid': '002105291305858664'}
{'cname': '北京书岭数字科技发展有限公司', 'corcode': '91110108317988918J', 'cid': '002105291305858665'}
{'cname': '北京鑫业润丰建筑工程有限公司', 'corcode': '91110115MA01TCJ34N', 'cid': '002105291305858666'}
{'cname': '北京首诚伟业建筑劳务有限公司', 'corcode': '91110113MA01NW5G3Y', 'cid': '002105291305858673'}
{'cname': '北京瑞兴昌达建筑有限责任公司', 'corcode': '9111011308045292XD', 'cid': '002105291305858674'}
{'cname': '北京伦至环境科技有限公司', 'corcode': '91110114MA018U1L11', 'cid': '002105291305858675'}
{'cname': '中顺铭远（北京）建筑有限公司', 'corcode': '91110109MA01LCTR0A', 'cid': '002105291306879089'}
{'cname': '北京兴恒瑞科技有限公司', 'corcode': '91110115MA7FB33R19', 'cid': '002205252014323322'}
{'cname': '中广核（北京）新能源科技有限公司', 'corcode': '911101083181614615', 'cid': '002207302020361665'}
{'cname': '元和天景（北京）建筑工程有限公司', 'corcode': '91110109MA7K1HXY84', 'cid': '002205282037325392'}
{'cname': '中筑建诚（北京）建筑工程有限公司', 'corcode': '91110109MA7K4EKJ0P', 'cid': '002205282037325393'}
{'cname': '天汇广通（北京）建筑工程有限公司', 'corcode': '91110109MA7J0KKRXB', 'cid': '002205282037325394'}
{'cname': '北京云徽装饰工程有限公司', 'corcode': '91110116MA01BQKD2H', 'cid': '002205282037325395'}
{'cname': '北京昌黎浩宁装饰工程有限公司', 'corcode': '91110116MA7KK5D386', 'cid': '002205282037325396'}
{'cname': '国能智深控制技术有限公司', 'corcode': '91110108739373518E', 'cid': '002205202013320955'}
{'cname': '如是（北京）工程设计有限公司', 'corcode': '91110113MA020J123R', 'cid': '002205202013320956'}
{'cname': '中筑橙天（北京）建设有限公司', 'corcode': '91110109MABLQCP268', 'cid': '002207302020361654'}
{'cname': '北京诚领科技有限公司', 'corcode': '91110115MA7GC6DD52', 'cid': '002205282037325408'}
{'cname': '北京罗曼蒂克建筑装饰有限责任公司', 'corcode': '91110115MA7E3TEC5C', 'cid': '002205282037325409'}
{'cname': '北京橙色风暴数字技术有限公司', 'corcode': '91110108674295079L', 'cid': '002207302020361667'}
{'cname': '北京立冶工程管理有限公司', 'corcode': '91110228MA00FGLF93', 'cid': '002206102015332008'}
{'cname': '北京一涂装饰工程有限公司', 'corcode': '91110106074169415T', 'cid': '002205282037325413'}
{'cname': '建胜华冶（北京）建筑工程有限公司', 'corcode': '91110109MA020KNL1U', 'cid': '002105291328052414'}
{'cname': '北京金奕建设工程有限公司', 'corcode': '91110111MA020B0F1U', 'cid': '002105291329076667'}
{'cname': '中晟融（北京）建筑工程有限公司', 'corcode': '91110106MA0211AD7D', 'cid': '002105291329074964'}
{'cname': '锦亿伟业（北京）建筑劳务有限公司', 'corcode': '91110109MA020M3913', 'cid': '002105291328052421'}
{'cname': '北京创造建设有限公司', 'corcode': '91110109MA01YEFW9N', 'cid': '002105291328052423'}
{'cname': '中昌胜达（北京）建筑工程有限公司', 'corcode': '91110109MA020XCY3U', 'cid': '002105291328052424'}
{'cname': '中广国宇（北京）电力工程有限公司', 'corcode': '91110109MA01RUHY3Q', 'cid': '002105291328057270'}
{'cname': '北京兴亿弘安建筑工程有限公司', 'corcode': '91110115MA01G9W629', 'cid': '002105291335081956'}
{'cname': '北京华畅电力工程有限公司', 'corcode': '91110109MA01UQG041', 'cid': '002105291335081626'}
{'cname': '中稷国储（北京）工程有限公司', 'corcode': '91110302MA01RP6U7U', 'cid': '002105291335081627'}
{'cname': '北京润锦诚建设工程有限公司', 'corcode': '91110111MA020CAB54', 'cid': '002105291329076683'}
{'cname': '北京雍新建设工程有限公司', 'corcode': '91110116MA018NHX21', 'cid': '002105291335081971'}
{'cname': '北京环宇昊天建设工程有限公司', 'corcode': '91110111MA020B0K23', 'cid': '002105291329076684'}
{'cname': '北京中顺恒通建筑工程有限公司', 'corcode': '91110113327138159A', 'cid': '002105291329077172'}
{'cname': '北京盛典博览国际会展有限公司', 'corcode': '911101175620719197', 'cid': '002105291329077531'}
{'cname': '中润华建（北京）建设有限公司', 'corcode': '91110109MA01RF2T62', 'cid': '002105291321971419'}
{'cname': '城利（北京）建设有限公司', 'corcode': '91110109MA01TGQA7G', 'cid': '002105291321971420'}
{'cname': '北京天华鸿盛建筑工程有限公司', 'corcode': '91110109MA01QJE27E', 'cid': '002105291321971425'}
{'cname': '北京壹达诚机电工程有限责任公司', 'corcode': '91110113MA01TH2Q85', 'cid': '002105291322975771'}
{'cname': '中源永旭（北京）建筑有限公司', 'corcode': '91110109MA01MF8G08', 'cid': '002105291313962865'}
{'cname': '北京鹏欣建筑安装工程有限公司', 'corcode': '91110111MA017HK34K', 'cid': '002105291322974115'}
{'cname': '北京启忠建筑工程有限公司', 'corcode': '91110117MA01T00W8W', 'cid': '002105291322974114'}
{'cname': '北京汇天源建筑工程劳务分包有限公司', 'corcode': '91110116762954169L', 'cid': '002105291313961100'}
{'cname': '北方爆破科技有限公司', 'corcode': '91110000100027972C', 'cid': '002105291313961101'}
{'cname': '国基著美（北京）装饰有限公司', 'corcode': '91110115MA01WJYY91', 'cid': '002105291313961102'}
{'cname': '北京华世宝鼎工程技术有限公司', 'corcode': '91110105579095781P', 'cid': '002105291322974116'}
{'cname': '北京世纪金辉体育发展有限公司', 'corcode': '91110115774056024J', 'cid': '002105291322974117'}
{'cname': '北京正和恒泰机械工程有限公司', 'corcode': '91110228MA018UPN0B', 'cid': '002105291322974470'}
{'cname': '路阔通建设（集团）有限公司', 'corcode': '91110109MA01LY0B5R', 'cid': '002105291322978540'}
{'cname': '北京翔越同创建筑劳务有限公司', 'corcode': '91110109MA01KY034N', 'cid': '002105291322978551'}
{'cname': '北京中科新远环境工程有限公司', 'corcode': '91110114699558824L', 'cid': '002105291312914860'}
{'cname': '北京金东高科科技有限公司', 'corcode': '91110105318292189L', 'cid': '002105291313927607'}
{'cname': '北京京房鼎盛建筑工程有限公司', 'corcode': '91110112071732137T', 'cid': '002105291312914874'}
{'cname': '北京华晶异彩科技有限公司', 'corcode': '91110111MA019Y4564', 'cid': '002105291313928917'}
{'cname': '北京智慧科林新能源科技有限公司', 'corcode': '91110111MA00BXLQ3Y', 'cid': '002105291313927284'}
{'cname': '北京世纪京喜建材有限公司', 'corcode': '91110111754679152U', 'cid': '002105291313929956'}
{'cname': '中科碳能（北京）技术有限公司', 'corcode': '91110113MA019QAE61', 'cid': '002105291313927274'}
{'cname': '北京天润嘉博装饰工程有限公司', 'corcode': '91110111MA01HEH744', 'cid': '002105291312914876'}
{'cname': '北京市京绿建设工程有限公司', 'corcode': '911101010556170409', 'cid': '002105291312914877'}
{'cname': '北京华政九州科技有限公司', 'corcode': '91110113MA01AHWY0A', 'cid': '002105291312916261'}
{'cname': '北京顺成立达建筑工程有限公司', 'corcode': '91110111L819222527', 'cid': '002105291313928944'}
{'cname': '北京泽曦平安科技有限公司', 'corcode': '91110112MA0022W23B', 'cid': '002105291313928593'}
{'cname': '北京新时代泛亚科技有限公司', 'corcode': '911101086916940988', 'cid': '002105291313928594'}
{'cname': '北京祥云世纪建筑工程有限公司', 'corcode': '91110109MA01U0Q748', 'cid': '002105291313928595'}
{'cname': '北京航洲行防水防腐工程技术有限公司', 'corcode': '91110114MA01FK274Y', 'cid': '002105291313928596'}
{'cname': '北京新龙建筑装饰有限公司', 'corcode': '911101051016694594', 'cid': '002105291313939265'}
{'cname': '中源腾业（北京）建设有限公司', 'corcode': '91110109MA01TQ12XK', 'cid': '002105291306900045'}
{'cname': '中江龙建（北京）建设有限公司', 'corcode': '91110109MA01QYER2D', 'cid': '002105291306900046'}
{'cname': '北京华创万方建设工程有限公司', 'corcode': '91110111MA01R33J8T', 'cid': '002105291306900048'}
{'cname': '北京默本环境工程有限公司', 'corcode': '911101075960866924', 'cid': '002105291313934055'}
{'cname': '北京得众建筑工程有限公司', 'corcode': '91110228306480035D', 'cid': '002105291313933012'}
{'cname': '北京京冠祥泰建设工程有限公司', 'corcode': '91110109MA01R1KJ0J', 'cid': '002105291313933013'}
{'cname': '北京源晟电气安装有限公司', 'corcode': '91110105801772422J', 'cid': '002105291312907443'}
{'cname': '北京四良科技有限公司', 'corcode': '91110105MA01K9L72L', 'cid': '002105291313934058'}
{'cname': '北京永盛天熙建筑工程有限公司', 'corcode': '91110109MA01G09H1Y', 'cid': '002105291313931644'}
{'cname': '北京卓宝建筑防水技术有限公司', 'corcode': '91110117MA01T3DD3D', 'cid': '002105291313934059'}
{'cname': '北京同成普利建筑装饰工程有限责任公司', 'corcode': '91110113554811913B', 'cid': '002105291306901452'}
{'cname': '北京沂恒建筑工程有限公司', 'corcode': '91110109MA01N6GE6W', 'cid': '002105291313935815'}
{'cname': '北京佳诚速通工程技术有限公司', 'corcode': '91110109MA01TLMF6E', 'cid': '002105291306902152'}
{'cname': '北京康景源通信技术有限公司', 'corcode': '91110113348462150C', 'cid': '002105291306902153'}
{'cname': '北京中泰宏伟建筑工程有限公司', 'corcode': '91110114MA01F4EE4X', 'cid': '002105291328043723'}
{'cname': '中交国环（北京）建设工程有限公司', 'corcode': '91110109MA00D4850W', 'cid': '002105291328043724'}
{'cname': '北京林平达建筑工程有限公司', 'corcode': '91110117MA01X5D39B', 'cid': '002105291323021385'}
{'cname': '北京硕城建筑有限公司', 'corcode': '91110114MA01Q5GM5G', 'cid': '002105291323021386'}
{'cname': '北京远大建科建筑工程有限公司', 'corcode': '91110109MA01YWHW0B', 'cid': '002105291328041305'}
{'cname': '北京恒业润达建筑有限公司', 'corcode': '91110117MA0200CM5R', 'cid': '002105291328041311'}
{'cname': '北京昌泰伟业建筑工程有限公司', 'corcode': '91110114MA01W5GJ36', 'cid': '002105291328041316'}
{'cname': '中工立业建设有限公司', 'corcode': '91110117MA01Y43380', 'cid': '002105291328041317'}
{'cname': '中一华创（北京）建设有限公司', 'corcode': '91110109MA01XRH85Q', 'cid': '002105291328041663'}
{'cname': '北京宏达永鑫机械设备租赁有限公司', 'corcode': '91110105567433528T', 'cid': '002105291328041664'}
{'cname': '北京博大盛泰建筑装饰工程有限公司', 'corcode': '91110117MA01T1M09H', 'cid': '002105291328043037'}
{'cname': '北京中鑫捷通建筑装饰有限公司', 'corcode': '91110115MA01XWMK9J', 'cid': '002105291328043041'}
{'cname': '北京昆扬生态园林工程有限公司', 'corcode': '91110116MA008JD131', 'cid': '002105291322010197'}
{'cname': '北京中鑫博海建设工程有限公司', 'corcode': '91110109MA01RGTE8B', 'cid': '002105291328043051'}
{'cname': '北京金石立达科技有限公司', 'corcode': '91110116691678434C', 'cid': '002105291323020024'}
{'cname': '天诚联泰（北京）科技有限公司', 'corcode': '91110302082842948R', 'cid': '002105291258799231'}
{'cname': '北京通盈建筑有限责任公司', 'corcode': '91110102633715030E', 'cid': '002105291258799232'}
{'cname': '北京市福环市政工程有限责任公司', 'corcode': '91110117102945371M', 'cid': '002105291258799233'}
{'cname': '北京中飞雅建设工程有限公司', 'corcode': '91110109MA01RAEH06', 'cid': '002105291258800271'}
{'cname': '北京亚奥天成装饰有限公司', 'corcode': '91110113MA00AYYA2J', 'cid': '002105291255766975'}
{'cname': '北京金鑫水淼科技发展有限公司', 'corcode': '91110115783247471M', 'cid': '002105291255766976'}
{'cname': '北京康信建筑工程有限责任公司', 'corcode': '91110114102662881R', 'cid': '002105291258800965'}
{'cname': '北京市中中防水工程有限责任公司', 'corcode': '91110106768457569R', 'cid': '002105291258800966'}
{'cname': '北京瑞绮宏业机电设备有限公司', 'corcode': '91110111699638269X', 'cid': '002105291258800967'}
{'cname': '北京沁润泽环保科技有限公司', 'corcode': '91110111685116128B', 'cid': '002105291258800968'}
{'cname': '北京东方紫景装饰有限责任公司', 'corcode': '91110105772585897H', 'cid': '002105291258800978'}
{'cname': '北京巨金建筑工程有限公司', 'corcode': '91110111592301981N', 'cid': '002105291258800980'}
{'cname': '北京腾翼建筑工程公司', 'corcode': '91110111102747359Y', 'cid': '002105291258800981'}
{'cname': '北京安泰信达消防工程有限公司', 'corcode': '91110117718769521E', 'cid': '002105291258800982'}
{'cname': '奇点新源国际技术开发（北京）有限公司', 'corcode': '911101085514317983', 'cid': '002105291258787245'}
{'cname': '北京宏晟远大建设工程有限公司', 'corcode': '91110111MA020UC23C', 'cid': '002105291328071023'}
{'cname': '北京沅润顺发建设工程有限公司', 'corcode': '91110111MA020C7G7E', 'cid': '002105291328071024'}
{'cname': '易智维（北京）科技有限公司', 'corcode': '91110115MA005APC98', 'cid': '002105291328071369'}
{'cname': '中晟兴泰建设有限公司', 'corcode': '91110111MA020DPK7K', 'cid': '002105291328062978'}
{'cname': '北京中益达工程有限公司', 'corcode': '91110109MA01YG1N1N', 'cid': '002105291328062986'}
{'cname': '北京中城基建工程检测技术有限公司', 'corcode': '9111010606492558XQ', 'cid': '002105291328057930'}
{'cname': '世纪亚安（北京）建设科技集团有限公司', 'corcode': '9111010775219571XX', 'cid': '002105291328073104'}
{'cname': '中城新建（北京）建设工程有限公司', 'corcode': '91110109MA020L2GX4', 'cid': '002105291328068983'}
{'cname': '北京中昌华泰建筑工程有限公司', 'corcode': '91110109MA01GN2947', 'cid': '002105291328060966'}
{'cname': '北京天中时代建设工程技术有限公司', 'corcode': '91110109MA01YKF38X', 'cid': '002105291328070684'}
{'cname': '光合佳创（北京）建筑工程有限公司', 'corcode': '91110109MA020J254W', 'cid': '002105291328070685'}
{'cname': '北泰建设有限公司', 'corcode': '91110109MA01YTM88P', 'cid': '002105291328070686'}
{'cname': '北京众安恒泰建设工程有限公司', 'corcode': '91110109MA01XQ1N3Y', 'cid': '002105291328071030'}
{'cname': '北京新华城电力工程有限公司', 'corcode': '91110111MA01D96J77', 'cid': '002105291328060973'}
{'cname': '北京合光时代智慧建筑工程有限公司', 'corcode': '91110111MA01F7N05A', 'cid': '002105291328071380'}
{'cname': '中铁中冶联合控股集团有限公司', 'corcode': '91110101MA01AFF09J', 'cid': '002212092048442128'}
{'cname': '中新丰华（北京）建设有限公司', 'corcode': '91110117MABUC5DB6X', 'cid': '002211052020423373'}
{'cname': '北京亚欢国际建设有限公司', 'corcode': '91110117MABW0P2X7W', 'cid': '002211052020423374'}
{'cname': '中昊兴隆（北京）建筑有限公司', 'corcode': '91110117MABWCHLX12', 'cid': '002211052020423375'}
{'cname': '北京微策建筑工程有限责任公司', 'corcode': '91110117MABWNUWJ2W', 'cid': '002211052020423376'}
{'cname': '中海智工建设（北京）有限公司', 'corcode': '91110117MA7GHXUWX5', 'cid': '002211052020423386'}
{'cname': '北京鼎迅环保科技有限公司', 'corcode': '91110109MA04CC9G70', 'cid': '002212132027443850'}
{'cname': '北京建泰通建筑装饰有限公司', 'corcode': '911101086637411762', 'cid': '002212172032446301'}
{'cname': '北京中之环保科技有限公司', 'corcode': '9111010634834316X8', 'cid': '002212202027447464'}
{'cname': '北京中城垣工程咨询有限公司', 'corcode': '91110111MA01DLKN12', 'cid': '002211142021428107'}
{'cname': '北京城健工程项目管理有限公司', 'corcode': '91110117MA01JG523L', 'cid': '002211142021428110'}
{'cname': '北京力效能源科技有限公司', 'corcode': '91110105MA7JGJB9X8', 'cid': '002212132027443851'}
{'cname': '北京中发顺安科技有限公司', 'corcode': '91110109MA7E99G59T', 'cid': '002212072026440742'}
{'cname': '安信装饰工程（北京）有限公司', 'corcode': '91110114MABYJ9233M', 'cid': '002212082037441514'}
{'cname': '一江（北京）建设工程有限公司', 'corcode': '91110116MABU255P5X', 'cid': '002212152028445432'}
{'cname': '北京宇盛隆建筑工程有限公司', 'corcode': '91110117MA01RUDL14', 'cid': '002105291305850316'}
{'cname': '北京佳融装饰工程有限公司', 'corcode': '91110117102957401A', 'cid': '002105291305848061'}
{'cname': '广联达科技股份有限公司', 'corcode': '91110000700049024C', 'cid': '002105291305848064'}
{'cname': '北京浩海鑫城建筑工程有限公司', 'corcode': '91110115MA01RFUL9Q', 'cid': '002105291305850317'}
{'cname': '北京国建京工建筑劳务有限公司', 'corcode': '91110116MA004RA9XC', 'cid': '002105291305850318'}
{'cname': '北京大唐高鸿数据网络技术有限公司', 'corcode': '91110108801170093K', 'cid': '002105291305844463'}
{'cname': '北京东华合创科技有限公司', 'corcode': '91110108795145245W', 'cid': '002105291305844464'}
{'cname': '北京民航工程有限公司', 'corcode': '9111011234428940XP', 'cid': '002105291259834858'}
{'cname': '高台（北京）机电工程有限公司', 'corcode': '91110111MA01L9795K', 'cid': '002105291305845489'}
{'cname': '北京大国消防工程有限公司', 'corcode': '91110114MA00GLPA2F', 'cid': '002105291259834503'}
{'cname': '复州（北京）环境科技有限责任公司', 'corcode': '91110115MA01G820XU', 'cid': '002105291259840015'}
{'cname': '中路（北京）建设有限公司', 'corcode': '91110302MA018A0H81', 'cid': '002105291259837977'}
{'cname': '北京载通安装工程有限公司', 'corcode': '91110113MA01QHUW9T', 'cid': '002105291259841043'}
{'cname': '北京百创天地建设工程有限公司', 'corcode': '91110109MA01B90R3L', 'cid': '002105291259835199'}
{'cname': '北京巨匠华艺建筑工程有限公司', 'corcode': '91110112772596246A', 'cid': '002105291259835200'}
{'cname': '北京禹石工程管理咨询有限公司', 'corcode': '911101173355785928', 'cid': '002201061917252410'}
{'cname': '北京昱宁建设工程有限公司', 'corcode': '91110109MA04H3EC94', 'cid': '002201302018267552'}
{'cname': '北京恒宸基业建设有限公司', 'corcode': '91110109MA04H5HK9T', 'cid': '002201302018267553'}
