{'cname': '北京中天远建筑工程有限公司', 'corcode': '91110109MA019HWA91', 'cid': '002105291241581606'}
{'cname': '中际建安（北京）建设有限公司', 'corcode': '91110109MA01N6MC8D', 'cid': '002105291313927541'}
{'cname': '北京潮白环保科技股份有限公司', 'corcode': '91110113788985924T', 'cid': '002105291312907620'}
{'cname': '东方明润（北京）建筑工程有限公司', 'corcode': '91110113MA01RHHG0H', 'cid': '002105291313928508'}
{'cname': '北京海通晟建筑工程有限公司', 'corcode': '91110111MA01DFKR8N', 'cid': '002105291313928516'}
{'cname': '北京昌兴顺通建设有限公司', 'corcode': '91110114MA01WHL96K', 'cid': '002105291313928517'}
{'cname': '北京杰美锐工程有限公司', 'corcode': '91110115MA01LY5J2R', 'cid': '002105291313928518'}
{'cname': '北京城通建筑工程管理有限公司', 'corcode': '91110228792138517G', 'cid': '002105291313939264'}
{'cname': '北京兆尊建设工程有限公司', 'corcode': '911101016343070479', 'cid': '002105291313939266'}
{'cname': '茂华中北建设工程有限公司', 'corcode': '911101096669460111', 'cid': '002105291313939267'}
{'cname': '中能昊瑞（北京）电力工程有限公司', 'corcode': '911101080785621346', 'cid': '002105291313939268'}
{'cname': '北京鑫悦久诚建筑工程有限公司', 'corcode': '911101176949679016', 'cid': '002105291313939270'}
{'cname': '北京庄典装饰工程有限公司', 'corcode': '91110117633784095T', 'cid': '002105291313939271'}
{'cname': '北京众诚天合科技有限公司', 'corcode': '91110105670595533X', 'cid': '002105291313939274'}
{'cname': '北京酒仙桥建筑机械租赁有限公司', 'corcode': '911102281030133220', 'cid': '002105291312904497'}
{'cname': '北京摩安信达建设工程监理有限公司', 'corcode': '91110101MA02AH7B42', 'cid': '002106181904114930'}
{'cname': '北京隆基恒业建筑工程有限公司', 'corcode': '91110111MA0218JX75', 'cid': '002106231905118948'}
{'cname': '华远建投（北京）环境工程有限公司', 'corcode': '91110117MA0210G14G', 'cid': '002106261905122912'}
{'cname': '北京成建华业建筑机械租赁有限公司', 'corcode': '911101057001902126', 'cid': '002106261905122913'}
{'cname': '瀚辉新能源科技（北京）有限公司', 'corcode': '91110117MA01RQAT76', 'cid': '002106161904112324'}
{'cname': '北京中升嘉业建筑有限公司', 'corcode': '91110106MA0206TXX9', 'cid': '002106161904112326'}
{'cname': '北京普睿德利科技有限公司', 'corcode': '91110108MA01Q8YQ0K', 'cid': '002106171904113228'}
{'cname': '北京鹏博盛达建筑劳务有限公司', 'corcode': '91110114MA0205U97H', 'cid': '002106261905122940'}
{'cname': '中达建（北京）工程有限公司', 'corcode': '91110116MA02A0CY8B', 'cid': '002106261905122942'}
{'cname': '北京天韵红蝠展览展示有限公司', 'corcode': '911101056738248642', 'cid': '002106261905122943'}
{'cname': '中昌华业（北京）建设工程有限公司', 'corcode': '91110109MA020R088K', 'cid': '002106261905122944'}
{'cname': '北京大友建设有限公司', 'corcode': '91110117MA02A4PW5R', 'cid': '002106161904112349'}
{'cname': '北京劲锐机电设备工程有限公司', 'corcode': '91110228MA0089KH1X', 'cid': '002106161904112350'}
{'cname': '北京中汇逸景建筑科技有限公司', 'corcode': '91110107MA02A7QX80', 'cid': '002106121902111120'}
{'cname': '六所智成（北京）科技有限公司', 'corcode': '91110108MA01BEB57G', 'cid': '002106171904113208'}
{'cname': '北京万合兴业电力工程有限公司', 'corcode': '91110117MABLX2RL54', 'cid': '002207162014354041'}
{'cname': '圣瑞普（北京）建设有限公司', 'corcode': '91110109MA7KCX214C', 'cid': '002207162014354042'}
{'cname': '北京数御科技有限公司', 'corcode': '91110101318312928K', 'cid': '002207162014354043'}
{'cname': '北京开焜建设工程有限公司', 'corcode': '91110117MA7NCGDG3K', 'cid': '002207162014354044'}
{'cname': '北京宏久凌峰建设工程有限公司', 'corcode': '91110117MA7LLFJF80', 'cid': '002207162014354045'}
{'cname': '北京华录高诚科技有限公司', 'corcode': '91110107694988024M', 'cid': '002207162014354046'}
{'cname': '北京众建兴业建筑工程有限公司', 'corcode': '91110114MA7N22LN96', 'cid': '002208022011363517'}
{'cname': '北京瑞保通达建筑装饰工程有限公司', 'corcode': '91110109MA7N42W36Y', 'cid': '002207232046358049'}
{'cname': '中晟住邦（北京）国际贸易有限公司', 'corcode': '91110109MA01RF25XK', 'cid': '002207232046358050'}
{'cname': '北京顺隆全科技有限公司', 'corcode': '91110115MA7J7CM59D', 'cid': '002207232046358051'}
{'cname': '中腾华通（北京）建筑工程有限公司', 'corcode': '91110109MABM6LH21P', 'cid': '002207271016359011'}
{'cname': '中瑞环保股份有限公司', 'corcode': '91110105MA005RTL4Y', 'cid': '002207271016359012'}
{'cname': '中辰冠杰（北京）建筑装饰工程有限公司', 'corcode': '91110109MA02ACDRXF', 'cid': '002207271016359013'}
{'cname': '北京万路建筑装饰工程有限公司', 'corcode': '91110117MA7KTUE31R', 'cid': '002207162014354084'}
{'cname': '北京佳丰柏合建筑工程有限公司', 'corcode': '91110117MA7MRRBA22', 'cid': '002207162014354085'}
{'cname': '北京利达安富业消防工程设备有限责任公司', 'corcode': '911101021013370242', 'cid': '002105291240463604'}
{'cname': '北京嘉盛源泰建筑装饰工程有限公司', 'corcode': '91110107764230914A', 'cid': '002105291240463605'}
{'cname': '北京仁和通盛建设工程有限公司', 'corcode': '911101056804832600', 'cid': '002105291240476272'}
{'cname': '北京路桥诺亚方舟园林绿化有限公司', 'corcode': '91110109772583517K', 'cid': '002105291240476273'}
{'cname': '北京思云照明工程有限责任公司', 'corcode': '9111011659389685XR', 'cid': '002105291240476274'}
{'cname': '北京永安泰消防工程有限公司', 'corcode': '91110102739386618T', 'cid': '002105291240476275'}
{'cname': '北京中宝创兴装饰工程有限公司', 'corcode': '91110101723580942G', 'cid': '002105291240476276'}
{'cname': '北京德瑞思建筑装饰工程有限公司', 'corcode': '91110115790682877K', 'cid': '002105291240476277'}
{'cname': '北京市大房兴业装饰工程有限责任公司', 'corcode': '9111011510291062X0', 'cid': '002105291240476278'}
{'cname': '北京珍嘉建筑安装工程有限责任公司', 'corcode': '911101021013866785', 'cid': '002105291240476279'}
{'cname': '北京华键装饰工程有限公司', 'corcode': '91110116102586049P', 'cid': '002105291240476280'}
{'cname': '北京开疆拓展建筑工程有限公司', 'corcode': '911101146662938151', 'cid': '002105291240476281'}
{'cname': '北京京建发工程管理有限公司', 'corcode': '911101137423445153', 'cid': '002105291240476291'}
{'cname': '北京星科照明工程有限公司', 'corcode': '91110114590622749D', 'cid': '002105291240464056'}
{'cname': '北京东舟华城装饰设计有限公司', 'corcode': '91110109665642382H', 'cid': '002105291240464057'}
{'cname': '北京会平电气安装有限责任公司', 'corcode': '91110105101814679U', 'cid': '002105291240466065'}
{'cname': '北京怀建集团满源建筑工程有限公司', 'corcode': '91110116102586364B', 'cid': '002105291240488120'}
{'cname': '北京国网中电电力工程有限公司', 'corcode': '911101170627677413', 'cid': '002105291240474495'}
{'cname': '大本营钢结构工程（北京）有限公司', 'corcode': '91110112769382669U', 'cid': '002105291240488123'}
{'cname': '北京弘泰君艺工程技术有限公司', 'corcode': '91110113744707164U', 'cid': '002105291240488124'}
{'cname': '北京北方亚馨信息技术有限公司', 'corcode': '91110101766274021G', 'cid': '002105291240488125'}
{'cname': '北京恒华电子系统工程有限公司', 'corcode': '91110117767538754N', 'cid': '002105291240488127'}
{'cname': '北京市朝阳区三间房水泥构件厂', 'corcode': '91110105101108854Q', 'cid': '002105291240488129'}
{'cname': '北京中科和澳电子信息技术有限公司', 'corcode': '91110114330267963X', 'cid': '002105291240488130'}
{'cname': '北京飞达顺鑫建筑工程有限责任公司', 'corcode': '9111011670004029XN', 'cid': '002105291240488131'}
{'cname': '北京陶然建筑有限公司', 'corcode': '91110102101552808A', 'cid': '002105291240488132'}
{'cname': '北京南尚岗鸿远建筑工程有限公司', 'corcode': '91110111358344940A', 'cid': '002105291240461879'}
{'cname': '北京昕东方建筑工程有限公司', 'corcode': '911101080627877852', 'cid': '002105291240461880'}
{'cname': '北京东方昊海建筑工程有限公司', 'corcode': '91110114085527767Y', 'cid': '002105291240461882'}
{'cname': '北京奥通达电梯装潢有限公司', 'corcode': '911101145548838377', 'cid': '002105291240461883'}
{'cname': '中泓建（北京）工程有限公司', 'corcode': '91110112MA01XA2Y6B', 'cid': '002105291322011341'}
{'cname': '北京宸兴工程建设有限公司', 'corcode': '91110117MA0178KM5Y', 'cid': '002105291322011343'}
{'cname': '北京三江四海建筑劳务有限公司', 'corcode': '91110109MA01W5JQX1', 'cid': '002105291328029405'}
{'cname': '北京宏顺伟业建筑工程有限公司', 'corcode': '911101113302791048', 'cid': '002105291328036328'}
{'cname': '北京智光安泰电气工程有限公司', 'corcode': '91110108576885614R', 'cid': '002105291328029747'}
{'cname': '北京鑫韵鹏达市政工程有限公司', 'corcode': '91110116579022419A', 'cid': '002105291328029748'}
{'cname': '北京朗明建筑工程有限公司', 'corcode': '91110111MA01XX8W0K', 'cid': '002105291328046609'}
{'cname': '中元德达有限公司', 'corcode': '91110112MA018GW41D', 'cid': '002105291328045222'}
{'cname': '北京鑫隆盛世路桥工程有限公司', 'corcode': '91110109MA01WQ3A49', 'cid': '002105291322011365'}
{'cname': '北京盛龙天饰装饰工程有限公司', 'corcode': '91110112754698740D', 'cid': '002105291322011368'}
{'cname': '北京靖硕建筑工程有限公司', 'corcode': '91110105592356341M', 'cid': '002105291322008601'}
{'cname': '北京华腾金典市政园林工程有限公司', 'corcode': '91110109MA01RLKL11', 'cid': '002105291322011377'}
{'cname': '北京兴业天成建筑工程有限公司', 'corcode': '91110109MA01X3HR5B', 'cid': '002105291322011379'}
{'cname': '北京永方建设工程有限公司', 'corcode': '91110228MA01EF0K99', 'cid': '002105291322011380'}
{'cname': '北京宏盛嘉誉建筑工程有限公司', 'corcode': '91110117MA01RFN37H', 'cid': '002105291328046597'}
{'cname': '北京金泳池装饰工程有限公司', 'corcode': '91110108633710352A', 'cid': '002105291240545071'}
{'cname': '北京中康净化工程有限公司', 'corcode': '91110105760104400X', 'cid': '002105291240545116'}
{'cname': '北京九隆建业市政工程有限公司', 'corcode': '91110113MA004FGG2E', 'cid': '002105291240545108'}
{'cname': '北京睿行建筑装饰有限公司', 'corcode': '91110113MA0076DF72', 'cid': '002105291240544718'}
{'cname': '北京仁人市政工程有限公司', 'corcode': '91110113MA002WXK9F', 'cid': '002105291240545253'}
{'cname': '北京宝路信息技术有限公司', 'corcode': '911101087454574008', 'cid': '002105291240539452'}
{'cname': '中电辉煌（北京）电力工程有限公司', 'corcode': '91110109MA00BT4M19', 'cid': '002105291240539465'}
{'cname': '北京白象新技术有限公司', 'corcode': '911101177921054670', 'cid': '002105291240539453'}
{'cname': '北京利德衡环保工程有限公司', 'corcode': '9111010910236944X9', 'cid': '002105291240539454'}
{'cname': '北京建都伟业科技发展有限公司', 'corcode': '911101087715760323', 'cid': '002105291240539455'}
{'cname': '中建通宇（北京）建筑劳务有限公司', 'corcode': '91110117MA009DJ961', 'cid': '002105291240539612'}
{'cname': '北京市朝阳化工设备厂', 'corcode': '911101051011090996', 'cid': '002105291240539291'}
{'cname': '北京玉河源水务建设有限公司', 'corcode': '911101091023261169', 'cid': '002105291240539456'}
{'cname': '北京瑞泰建设工程有限公司', 'corcode': '91110115721490759X', 'cid': '002105291240539614'}
{'cname': '北京振兴美创建筑装饰工程有限公司', 'corcode': '91110117802955140B', 'cid': '002105291240539457'}
{'cname': '北京元夏建设工程有限公司', 'corcode': '92110111L05364180H', 'cid': '002108211508171706'}
{'cname': '中鸿瑞（北京）科技工程有限公司', 'corcode': '91110111MA0202EY1R', 'cid': '002108211508171707'}
{'cname': '北京路通天元科技有限公司', 'corcode': '9111010875529182XB', 'cid': '002108211508171710'}
{'cname': '北京卓美睿科技发展有限公司', 'corcode': '91110112MA01Y4YR12', 'cid': '002108211508171711'}
{'cname': '中浩兴（北京）建设有限公司', 'corcode': '91110109MA020MG43X', 'cid': '002107151911145287'}
{'cname': '北京仁恩装饰工程有限公司', 'corcode': '91110113MA007ABM2A', 'cid': '002107151911145291'}
{'cname': '北京共赢建筑工程有限公司', 'corcode': '91110116MA02A6R87N', 'cid': '002107151911145292'}
{'cname': '中汇恒达（北京）工程建设有限公司', 'corcode': '91110109MA0209AK0B', 'cid': '002107151911145293'}
{'cname': '北京秉诚建筑工程有限公司', 'corcode': '91110116MA02A56J08', 'cid': '002107151911145294'}
{'cname': '北京创力东胜建设工程有限公司', 'corcode': '91110117MA029TNA5Q', 'cid': '002108251905173630'}
{'cname': '永华新工（北京）建设有限公司', 'corcode': '91110117MA02AARN0T', 'cid': '002108251905173631'}
{'cname': '中永安科（北京）工程有限公司', 'corcode': '91110117MA02AAP423', 'cid': '002108251905173632'}
{'cname': '北京鼎建纵恒建设工程有限公司', 'corcode': '91110117MA029TPC4D', 'cid': '002108251905173633'}
{'cname': '一维（北京）工程技术有限责任公司', 'corcode': '91110228MA01C8BC3U', 'cid': '002108251905173634'}
{'cname': '北京沁诺展览有限公司', 'corcode': '91110114692348357C', 'cid': '002108251905173635'}
{'cname': '北京中环华艺环保工程有限公司', 'corcode': '91110113661553999N', 'cid': '002105291259836436'}
{'cname': '北京中兵鸿达科技发展有限公司', 'corcode': '91110112MA001UWR9J', 'cid': '002105291259836439'}
{'cname': '北京中装创城装饰工程有限公司', 'corcode': '91110117351291233L', 'cid': '002105291305871033'}
{'cname': '北京隆源新顺建筑工程有限公司', 'corcode': '91110109MA018T8M1B', 'cid': '002105291259831566'}
{'cname': '京泊兴盛建设工程（北京）有限公司', 'corcode': '91110111MA01CXJT1R', 'cid': '002105291259831570'}
{'cname': '北京淮胜建设有限公司', 'corcode': '91110108078573589G', 'cid': '002105291259831581'}
{'cname': '众典合力（北京）装饰工程有限公司', 'corcode': '911101145938548959', 'cid': '002105291259832263'}
{'cname': '北京福润德建筑工程有限公司', 'corcode': '91110115MA01M5YF0H', 'cid': '002105291305872080'}
{'cname': '北京福源利昌建筑工程有限公司', 'corcode': '91110116MA0191K90H', 'cid': '002105291259832278'}
{'cname': '中京鑫建（北京）建设有限公司', 'corcode': '91110109MA01QU0E69', 'cid': '002105291305857727'}
{'cname': '北京天蔚燃气工程有限公司', 'corcode': '91110109MA01QNL143', 'cid': '002105291305857730'}
{'cname': '北京清晨建筑工程有限公司', 'corcode': '91110113MA01A6M17T', 'cid': '002105291305857736'}
{'cname': '北京天益友邦建筑工程有限公司', 'corcode': '91110109696353479F', 'cid': '002105291259833297'}
{'cname': '北京睿斯嘉禾国际会展服务有限公司', 'corcode': '911101126876453066', 'cid': '002105291259833308'}
{'cname': '北京建荣明华建筑工程有限公司', 'corcode': '91110109MA01QQ7X5P', 'cid': '002105291305857744'}
{'cname': '北京中明轩逸电力工程有限公司', 'corcode': '91110114MA01XDETX5', 'cid': '002105291336094996'}
{'cname': '北京中恒荣申建筑工程有限公司', 'corcode': '91110114MA01XDUT18', 'cid': '002105291336094997'}
{'cname': '北京慢客工程有限公司', 'corcode': '91110117MA01YM9X0Y', 'cid': '002105291336095001'}
{'cname': '北京鸿昊建达建筑工程有限公司', 'corcode': '91110116MA001ML226', 'cid': '002105291336095008'}
{'cname': '英厚普建筑设计事务所（北京）有限公司', 'corcode': '91110109MA020HHW5M', 'cid': '002105291336095349'}
{'cname': '北京天俊精维工程技术有限公司', 'corcode': '91110109MA020A33X4', 'cid': '002105291328053590'}
{'cname': '北京兴弘建业建筑工程有限公司', 'corcode': '91110109MA01XA4C93', 'cid': '002105291328053593'}
{'cname': '北京锦霖华筑装饰工程有限公司', 'corcode': '91110116MA01X2T406', 'cid': '002105291328053594'}
{'cname': '北京中鸿聚盛建筑工程有限公司', 'corcode': '91110105589075194J', 'cid': '002105291335090854'}
{'cname': '诚广筑业（北京）建设有限公司', 'corcode': '91110109MA01QU0P6J', 'cid': '002105291328053931'}
{'cname': '北京明茂建筑劳务有限公司', 'corcode': '91110117MA01YYXC4C', 'cid': '002105291328065440'}
{'cname': '北京铭元建筑工程有限公司', 'corcode': '91110114MA01Y8PN24', 'cid': '002105291328065442'}
{'cname': '北京锦安建筑工程有限公司', 'corcode': '91110109MA01X6YD7L', 'cid': '002105291328065116'}
{'cname': '中屹交建（北京）建筑工程有限公司', 'corcode': '91110109MA01XY9839', 'cid': '002105291328065125'}
{'cname': '北京陆时建筑工程有限公司', 'corcode': '91110109MA01Y33F33', 'cid': '002105291328065454'}
{'cname': '中凡旭泽（北京）建设有限公司', 'corcode': '91110109MA7LJW4L7E', 'cid': '002206152012333947'}
{'cname': '北京中创益盛建设有限公司', 'corcode': '91110109MA7KE7P29L', 'cid': '002206152012333948'}
{'cname': '北京尚岛建设工程有限公司', 'corcode': '91110109MA7KDEH05Y', 'cid': '002206152012333954'}
{'cname': '北京恩泽世纪科技有限公司', 'corcode': '911101076908228440', 'cid': '002206152012333955'}
{'cname': '中鼎立拓（北京）建筑工程有限公司', 'corcode': '91110111MA7N5FA458', 'cid': '002207282014360129'}
{'cname': '中海瑞鑫（北京）建设有限公司', 'corcode': '91110111MABN9XLL25', 'cid': '002207282014360130'}
{'cname': '北京中大瑞科建筑有限公司', 'corcode': '91110111MABP7FEG9J', 'cid': '002207282014360131'}
{'cname': '中基久安（北京）建设工程有限公司', 'corcode': '91110111MABR9006XY', 'cid': '002207282014360132'}
{'cname': '国汇恒创（北京）建筑工程有限公司', 'corcode': '91110111MA7K3HHRX7', 'cid': '002207282014360133'}
{'cname': '中恒立达（北京）建筑工程有限公司', 'corcode': '91110111MA7LQPJ69U', 'cid': '002207282014360134'}
{'cname': '杰思德空间设计（北京）有限公司', 'corcode': '911101055604450755', 'cid': '002206242019339998'}
{'cname': '北京恒欣建筑设计有限公司', 'corcode': '91110117MA7DL3YU6H', 'cid': '002206242019340000'}
{'cname': '北京泰宇熙建筑工程有限公司', 'corcode': '91110117MA04EU033H', 'cid': '002206282012341090'}
{'cname': '北京恒峻建筑工程有限公司', 'corcode': '91110117MA04ETUY5M', 'cid': '002206282012341091'}
{'cname': '汇实工程管理（北京）有限公司', 'corcode': '91110105MA01XQH07M', 'cid': '002206152012333938'}
{'cname': '中化工程集团环保有限公司', 'corcode': '91110112MA009THF67', 'cid': '002105291254742488'}
{'cname': '北京京岩工程有限公司', 'corcode': '91110105101716593H', 'cid': '002105291258784479'}
{'cname': '北京宏岳建筑劳务有限公司', 'corcode': '91110113MA001U8C3F', 'cid': '002105291258784817'}
{'cname': '北京润泽清源环保科技发展有限公司', 'corcode': '91110109MA00E17HXF', 'cid': '002105291254745660'}
{'cname': '北京建院科技发展有限公司', 'corcode': '911101021013975377', 'cid': '002105291255776704'}
{'cname': '北京正建锋建筑科技有限公司', 'corcode': '911101086963112873', 'cid': '002105291255776705'}
{'cname': '北京吉平劳务分包有限公司', 'corcode': '911101095876763753', 'cid': '002105291255776706'}
{'cname': '北京乾建建筑装饰工程有限责任公司', 'corcode': '91110115102911139X', 'cid': '002105291255776707'}
{'cname': '北京华勤创新软件有限公司', 'corcode': '91110105671732536E', 'cid': '002105291258783424'}
{'cname': '北京众合伟业装饰工程有限公司', 'corcode': '91110109MA01QRPQ5L', 'cid': '002105291255777402'}
{'cname': '北京三秀佳浩建筑工程有限公司', 'corcode': '91110117MA01PA5F6N', 'cid': '002105291255777403'}
{'cname': '北京明大创建涂装工程有限公司', 'corcode': '911101145530785100', 'cid': '002105291254745661'}
{'cname': '北京锡泽建设工程有限公司', 'corcode': '91110109MA01NFJ3X5', 'cid': '002105291254745662'}
{'cname': '北京铸建信工程有限公司', 'corcode': '91110109MA01PW8886', 'cid': '002105291255777404'}
{'cname': '北京北起意欧替智能科技有限公司', 'corcode': '91110116785546707D', 'cid': '002105291254746351'}
{'cname': '北京华建泰元建设工程有限公司', 'corcode': '91110117MA02ADDU77', 'cid': '002108241905173048'}
{'cname': '北京凯旭建筑工程有限公司', 'corcode': '91110229MA01YWGN0K', 'cid': '002107211912151004'}
{'cname': '北京星华盛世建筑工程有限公司', 'corcode': '91110115MA028N3E9U', 'cid': '002107141920143193'}
{'cname': '中威鸿城（北京）建设有限公司', 'corcode': '91110117MA021CPY4W', 'cid': '002107141920143194'}
{'cname': '尚臣科技有限公司', 'corcode': '91110106787783239M', 'cid': '002105291241603657'}
{'cname': '北京艺博汉通文化发展有限公司', 'corcode': '911101056723795786', 'cid': '002108241905173051'}
{'cname': '中浩宏伟（北京）建筑工程有限公司', 'corcode': '91110109MA020QC49F', 'cid': '002108031923160265'}
{'cname': '北京唐吉云才建设工程有限公司', 'corcode': '91110109MA020WXT31', 'cid': '002108031923160266'}
{'cname': '北京华清佳业工程技术有限公司', 'corcode': '91110105MA01L4MN1A', 'cid': '002107211912151005'}
{'cname': '北京兰诚集建集团有限责任公司', 'corcode': '91110302MA01PAMU7K', 'cid': '002107211912151006'}
{'cname': '君合顺祥（北京）建筑工程有限公司', 'corcode': '91110117MA020U1G8J', 'cid': '002107281913156194'}
{'cname': '北京鼎圣沣平建筑工程有限公司', 'corcode': '91110117MA028K1C1W', 'cid': '002107281913156195'}
{'cname': '瀚远（北京）建设有限公司', 'corcode': '91110117MA0210M63Y', 'cid': '002107281913156203'}
{'cname': '世纪丰华（北京）建设有限公司', 'corcode': '91110117MA0211Y033', 'cid': '002107281913156204'}
{'cname': '北京欣亿发建筑工程有限公司', 'corcode': '91110117MA020FF05H', 'cid': '002107281913156196'}
{'cname': '北京鑫垣建筑工程有限公司', 'corcode': '911101090981693137', 'cid': '002105291313929833'}
{'cname': '北京众益华盛建筑装饰工程有限公司', 'corcode': '91110109634328585X', 'cid': '002105291313929834'}
{'cname': '北京安启信安装工程有限公司', 'corcode': '91110107740445355K', 'cid': '002105291313929835'}
{'cname': '爱土工程环境科技有限公司', 'corcode': '91110105582577458U', 'cid': '002105291313929836'}
{'cname': '北京合力兴达电气工程有限公司', 'corcode': '911101153180992319', 'cid': '002105291313937525'}
{'cname': '北京中农大农业规划设计院有限公司', 'corcode': '911101087364963289', 'cid': '002105291313937526'}
{'cname': '神州博古（北京）建设工程有限公司', 'corcode': '9111010835129993XM', 'cid': '002105291312907570'}
{'cname': '北京国泰鼎盛建筑有限公司', 'corcode': '911101066869172693', 'cid': '002105291312907576'}
{'cname': '国申（北京）能源科技有限公司', 'corcode': '91110109MA018PFU0G', 'cid': '002105291312907578'}
{'cname': '北京向阳宏达建筑工程有限公司', 'corcode': '911101065891135927', 'cid': '002105291312907217'}
{'cname': '北京庄构人防设备厂', 'corcode': '9111022810298002X4', 'cid': '002105291313940287'}
{'cname': '北京金沣华腾市政工程有限公司', 'corcode': '91110109MA01UWLP7M', 'cid': '002105291313930202'}
{'cname': '北京浩锐鸿信工程有限公司', 'corcode': '91110302MA01PAR11W', 'cid': '002105291313930203'}
{'cname': '北京合信致润环境工程有限公司', 'corcode': '911101050672612134', 'cid': '002105291313942000'}
{'cname': '北京远虹建筑工程有限公司', 'corcode': '91110109MA0177UG7K', 'cid': '002105291312906192'}
{'cname': '中环佳美（北京）建设有限公司', 'corcode': '91110117MA01UWYG6N', 'cid': '002105291322994596'}
{'cname': '北京月恒净化工程有限公司', 'corcode': '91110302MA01CHPJ4R', 'cid': '002105291322987575'}
{'cname': '北京成大器机电工程有限公司', 'corcode': '91110106MA01WDHQ9U', 'cid': '002105291321967052'}
{'cname': '天侬（北京）建筑工程有限公司', 'corcode': '91110117MA01UX4D3X', 'cid': '002105291322987576'}
{'cname': '北京源兴卓业企业管理有限公司', 'corcode': '91110106MA01TUNF7E', 'cid': '002105291321967778'}
{'cname': '伟复环保科技（北京）有限公司', 'corcode': '91110114MA00383E9C', 'cid': '002105291322988610'}
{'cname': '北京世纪先锋科技有限公司', 'corcode': '91110109700279874J', 'cid': '002105291321967419'}
{'cname': '北京声迅电子股份有限公司', 'corcode': '911101081011420915', 'cid': '002105291321967420'}
{'cname': '北京中盛玖利安装有限公司', 'corcode': '91110109MA01RURF1G', 'cid': '002105291322991364'}
{'cname': '中建二局土木工程集团有限公司', 'corcode': '911101121718055596', 'cid': '002105291321967422'}
{'cname': '北京建达宏图建筑工程有限公司', 'corcode': '9111010957317901X4', 'cid': '002105291322988961'}
{'cname': '北京金旺利通建设工程有限公司', 'corcode': '91110116MA01Q91B0B', 'cid': '002105291322990019'}
{'cname': '中恒丰建筑集团有限公司', 'corcode': '91110111MA0188MH2X', 'cid': '002105291322005188'}
{'cname': '北京博晨伟业建筑装饰工程有限公司', 'corcode': '91110109078566821Y', 'cid': '002105291322996999'}
{'cname': '北京北方世嘉建筑工程有限公司', 'corcode': '91110109MA01A7AEXC', 'cid': '002105291322005192'}
{'cname': '北京鸿远建设工程有限公司', 'corcode': '91110116592348587C', 'cid': '002105291239455864'}
{'cname': '北京新华维脚手架有限公司', 'corcode': '911101137763811973', 'cid': '002105291240481275'}
{'cname': '北京金九阳钢结构工程有限公司', 'corcode': '911101146684342638', 'cid': '002105291239455865'}
{'cname': '北京三一兴和科技发展有限公司', 'corcode': '91110108760143266E', 'cid': '002105291239455866'}
{'cname': '北京全顺时代建筑装饰有限公司', 'corcode': '91110117061307540M', 'cid': '002105291239455867'}
{'cname': '北京精科安消防工程有限公司', 'corcode': '91110105801788424U', 'cid': '002105291239455868'}
{'cname': '北京创源市政建设工程有限公司', 'corcode': '91110115633680974C', 'cid': '002105291239455869'}
{'cname': '北京天海顺工程公司', 'corcode': '911101131025470748', 'cid': '002105291239455584'}
{'cname': '北京中标怡高装饰工程有限公司', 'corcode': '91110106101205603G', 'cid': '002105291239455585'}
{'cname': '北京华悦嘉业建筑工程有限公司', 'corcode': '91110105793439557A', 'cid': '002105291240472139'}
{'cname': '北京劳瑞特建筑结构加固工程有限公司', 'corcode': '91110105101738610K', 'cid': '002105291240472140'}
{'cname': '北京核新伟鸿建设工程股份有限公司', 'corcode': '911101061013970514', 'cid': '002105291240472143'}
{'cname': '北京利泽杰建筑工程有限公司', 'corcode': '91110114690031081D', 'cid': '002105291240479981'}
{'cname': '北京中天恒大建筑工程有限公司', 'corcode': '911101110855194174', 'cid': '002105291240472144'}
{'cname': '北京蜀天恒泰建筑劳务有限公司', 'corcode': '9111011156206708X6', 'cid': '002105291239455586'}
{'cname': '北京共未来建筑工程有限公司', 'corcode': '91110113MA01CJCM10', 'cid': '002105291313952216'}
{'cname': '北京邺城宏远建筑工程有限公司', 'corcode': '91110111MA01UJPC09', 'cid': '002105291313953240'}
{'cname': '新兴建瓴（北京）工程建设有限公司', 'corcode': '91110114MA01W8G06J', 'cid': '002105291313953244'}
{'cname': '北京功成建设发展有限公司', 'corcode': '91110105801784044A', 'cid': '002105291313953245'}
{'cname': '北京中亿汇景建筑工程有限公司', 'corcode': '91110115MA01WJNY9K', 'cid': '002105291313953246'}
{'cname': '北京中鼎建业环境修复有限公司', 'corcode': '91110109MA00DR0H0K', 'cid': '002105291313957310'}
{'cname': '北京工正装饰工程有限公司', 'corcode': '91110117102963289T', 'cid': '002105291313957322'}
{'cname': '北京圣曦装饰工程有限公司', 'corcode': '9111011230662393XU', 'cid': '002105291313953247'}
{'cname': '北京鸿盛双赢建筑工程有限公司', 'corcode': '91110112MA01WCND88', 'cid': '002105291313953257'}
{'cname': '北京中铠国际工程设计有限公司', 'corcode': '91110108MA01LA7UXD', 'cid': '002105291313948078'}
{'cname': '北京六环顺发建筑工程有限公司', 'corcode': '91110115745493110E', 'cid': '002105291313957325'}
{'cname': '北京奥维克门窗幕墙工程有限公司', 'corcode': '91110113801746275X', 'cid': '002105291313957326'}
{'cname': '北京中隆兴盛建筑劳务有限公司', 'corcode': '91110117MA01WDN12Q', 'cid': '002105291321971264'}
{'cname': '北京上九嘉品工程技术有限公司', 'corcode': '91110228MA01W1RP1R', 'cid': '002105291313948775'}
